Postcode,District,DistrictAreaPercentage
2000,Central,0.97
2006,Central,1
2007,Central,1
2008,Central,1
2009,Central,0.95
2010,Central,1
2011,Central,0.96
2015,Central,1
2016,Central,1
2017,Central,1
2018,Central,1
2019,Central,1
2020,Central,1
2021,Central,1
2022,Central,1
2023,Central,1
2024,Central,1
2025,Central,1
2026,Central,1
2027,Central,0.97
2028,Central,0.99
2029,Central,0.99
2030,Central,0.98
2031,Central,1
2032,Central,1
2033,Central,1
2034,Central,1
2035,Central,1
2036,Central,0.99
2037,Central,1
2038,Central,1
2039,Central,0.99
2040,Central,1
2041,Central,0.96
2042,Central,1
2043,Central,1
2044,Central,1
2045,Central,1
2046,Central,1
2047,Central,0.97
2048,Central,1
2049,Central,1
2050,Central,1
2052,Central,1
2060,North,1
2061,North,0.99
2062,North,1
2063,North,1
2064,North,1
2065,North,0.99
2066,North,0.99
2067,North,0.99
2068,North,0.99
2069,North,0.99
2070,North,1
2071,North,1
2072,North,1
2073,North,1
2074,North,1
2075,North,1
2076,North,1
2077,North,1
2079,North,1
2080,North,1
2081,North,1
2082,North,1
2083,North,0.72
2084,North,1
2085,North,1
2086,North,1
2087,North,1
2088,North,0.98
2089,North,1
2090,North,1
2092,North,0.99
2093,North,0.99
2094,North,0.99
2095,North,0.97
2096,North,1
2097,North,1
2099,North,1
2100,North,1
2101,North,1
2102,North,1
2103,North,1
2104,North,1
2105,North,1
2106,North,1
2107,North,1
2108,North,0.99
2109,North,1
2110,North,0.94
2111,North,0.99
2112,North,1
2113,North,1
2114,North,0.9
2115,West Central,1
2116,West Central,1
2117,West Central,1
2118,West Central,1
2119,North,0.83
2120,North,1
2121,West Central,0.75
2122,North,0.87
2123,West Central,1
2125,West Central,0.84
2126,North,1
2127,West Central,0.96
2128,West Central,1
2129,Central,1
2130,Central,1
2131,Central,1
2132,Central,1
2133,Central,0.63
2134,Central,1
2135,Central,1
2136,Central,1
2137,Central,1
2138,Central,0.99
2139,Central,0.96
2140,Central,0.87
2141,West Central,1
2142,West Central,1
2143,South,0.67
2144,West Central,1
2145,West Central,1
2146,West Central,1
2147,West Central,1
2148,West Central,1
2150,West Central,1
2151,West Central,1
2152,West Central,1
2153,West Central,1
2154,West Central,0.88
2155,West Central,1
2156,West Central,0.99
2157,North,0.56
2158,North,0.65
2159,North,1
2160,West Central,1
2161,West Central,0.84
2162,South,0.91
2163,South,0.72
2164,South West,0.77
2165,South West,0.99
2166,South West,1
2167,South West,1
2168,South West,1
2170,South West,1
2171,South West,1
2172,South West,0.89
2173,South West,0.83
2174,South West,1
2175,South West,1
2176,South West,1
2177,South West,1
2178,West,0.51
2179,South West,1
2190,South,0.84
2191,South,0.69
2192,South,1
2193,South,0.96
2194,South,1
2195,South,1
2196,South,1
2197,South,1
2198,South,1
2199,South,1
2200,South,1
2203,Central,1
2204,Central,1
2205,Central,1
2206,South,0.99
2207,Central,1
2208,South,0.8
2209,South,1
2210,South,1
2211,South,1
2212,South,1
2213,South,1
2214,South,1
2216,Central,0.99
2217,Central,0.58
2218,South,0.74
2219,Central,0.74
2220,South,1
2221,South,1
2222,South,1
2223,South,1
2224,South,1
2225,South,1
2226,South,1
2227,South,1
2228,South,1
2229,South,1
2230,South,1
2231,South,1
2232,South,1
2233,South,1
2234,South,1
2555,South West,0.67
2556,South West,1
2557,South West,1
2558,South West,1
2559,South West,1
2560,South West,0.7
2563,South West,1
2564,South West,1
2565,South West,1
2566,South West,1
2567,South West,1
2568,South West,1
2569,South West,1
2570,South West,1
2571,South West,0.88
2572,South West,1
2573,South West,1
2574,South West,0.22
2745,West,0.59
2747,West,0.78
2748,West,1
2749,West,1
2750,West,1
2752,South West,1
2753,West,1
2754,West,1
2755,West,1
2756,West,0.9
2757,West,1
2758,West,1
2759,West,1
2760,West,0.87
2761,West Central,1
2762,West Central,1
2763,West Central,1
2765,West Central,0.6
2766,West Central,1
2767,West Central,1
2768,West Central,1
2769,West Central,1
2770,West Central,1
2773,West,1
2774,West,1
2775,West,0.78
2776,West,1
2777,West,1
2778,West,1
2779,West,1
2780,West,1
2782,West,1
2783,West,1
2784,West,1
2785,West,0.87
2786,West,0.56
2787,South West,0.31
